pmid,year,title,journal,doi,official_category,secondary_domain_tags,disease_scope,source_role,evidence_tier,pdf_version,pdf_filename,sha256,physical_pages,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
41961582,2026,First-Line Sacituzumab Govitecan Plus Pembrolizumab and Carboplatin in Metastatic Non-Small Cell Lung Cancer: Nonsquamous and Squamous Cohorts of the EVOKE-02 Study,Clinical Cancer Research,10.1158/1078-0432.CCR-25-4485,Clinical Trials: Molecularly Targeted Therapy,clinical-trial;ADC;immunotherapy;safety;response-denominators,NSCLC,lung-original-research,descriptive-single-arm-clinical,publisher_line_numbered_manuscript,Gray_First-Line_Sacituzumab_Govitecan_Pembrolizumab_Carboplatin_EVOKE-02_PMID41961582.pdf,db2e53da2fffc530de21855d91502e3c8e9061fb63f1d6aab69a26b95e29804a,29,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2026-09-23-intake-language.md,23;24;25;26;28;29
40378060,2025,"Phase I/II Study of Tifcemalimab, an Anti-B and T-Lymphocyte Attenuator Antibody, in Combination with Toripalimab in Previously Treated Advanced Lung Cancer",Clinical Cancer Research,10.1158/1078-0432.CCR-25-0022,Clinical Trials: Immunotherapy,clinical-trial;immunotherapy;BTLA;HVEM;biomarker;statistics,NSCLC;SCLC,lung-original-research,descriptive-single-arm-clinical,publisher_main_pdf,Cheng_Tifcemalimab_Toripalimab_Previously_Treated_Advanced_Lung_Cancer_PMID40378060.pdf,193099d4a3898b29e049b8caf03f33442fc0c1cf57e48829855d60546be4084f,9,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2026-09-23-intake-language.md,3;4;5;6;7;8
40260627,2025,"Izalontamab (SI-B001), a Novel EGFRxHER3 Bispecific Antibody in Patients with Locally Advanced or Metastatic Epithelial Tumor: Results from First-in-Human Phase I/Ib Study",Clinical Cancer Research,10.1158/1078-0432.ccr-25-0206,Clinical Trials: Molecularly Targeted Therapy,targeted-therapy;bispecific-antibody;pharmacokinetics;dose-escalation;statistics,NSCLC;NPC;HNSCC;other-epithelial-tumors,basket-with-lung-cohort,descriptive-early-phase-clinical,publisher_main_pdf,"Xue_Izalontamab_(SI-B001),_a_Novel_EGFRxHER3_Bispecific_Antibody_in_Patients_with_Locally_Advanced_or_M_PMID40260627.pdf",114ab54110a26e13e9840d7127296e8e4f5591b36a94854af35a02edf75fdd2a,8,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-clinical-2026-09-23-language.md,3;4;5;6
40162917,2025,Randomized Phase III Study of EGFR Tyrosine Kinase Inhibitor and Intercalated Platinum-Doublet Chemotherapy for Non-Small Cell Lung Cancer Harboring EGFR Mutation,Clinical Cancer Research,10.1158/1078-0432.ccr-24-3532,Clinical Trials: Targeted Therapy,randomized-trial;targeted-therapy;chemotherapy;negative-primary-endpoint;survival;statistics,EGFR-mutant-NSCLC,lung-original-research,randomized-clinical-comparative,publisher_main_pdf,Kanda_Randomized_Phase_III_Study_of_EGFR_Tyrosine_Kinase_Inhibitor_and_Intercalated_Platinum-Doublet_Ch_PMID40162917.pdf,855640641c34509ed59a6cd4403590ce4d2d0ab38ddc2ea11a8670ff9cd902e2,10,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-clinical-2026-09-23-language.md,3;4;5;6;7;8
40880183,2025,Phase I Dose-Escalation Trial Combining Olaparib and Thoracic Radiotherapy in Extensive-Stage Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-24-4342,Clinical Trials: Novel Mechanisms,radiotherapy;PARP-inhibitor;dose-escalation;continual-reassessment;time-origin;statistics,SCLC,lung-original-research,descriptive-early-phase-clinical,author_manuscript,Rimner_Phase_I_Dose-Escalation_Trial_Combining_Olaparib_and_Thoracic_Radiotherapy_in_Extensive-Stage_Sm_PMID40880183.pdf,2f77a2ccf539d6677e12db2da7bf8945b36b7cb60f9cc02ed328d268de3b46de,23,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-clinical-2026-09-23-language.md,14;15;16;17;18;19;20;21;22;23
39651955,2025,"Phase I/II Trial of Exportin 1 Inhibitor Selinexor plus Docetaxel in Previously Treated, Advanced KRAS-Mutant Non-Small Cell Lung Cancer",Clinical Cancer Research,10.1158/1078-0432.ccr-24-1722,Clinical Trials: Targeted Therapy,genomics;TP53;STK11;bulk-transcriptomics;bioinformatics;targeted-cytokine-panel;targeted-therapy;statistics,KRAS-mutant-NSCLC,lung-original-research,exploratory-clinical-biomarker,author_manuscript,"von_Itzstein_Phase_I_II_Trial_of_Exportin_1_Inhibitor_Selinexor_plus_Docetaxel_in_Previously_Treated,_A_PMID39651955.pdf",daa642b8a1bfafe6caa07ee04843257be010103b781c07263097d88cfb1bfe5f,22,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-clinical-2026-09-23-language.md,16;17;18;19;20;21;22
39540841,2025,Aberrant Activation of Wound-Healing Programs within the Metastatic Niche Facilitates Lung Colonization by Osteosarcoma Cells,Clinical Cancer Research,10.1158/1078-0432.ccr-24-0049,Translational Cancer Mechanisms and Therapy,single-cell;single-nucleus;spatial-transcriptomics;bioinformatics;NicheNet;AUCell;preclinical;fibrosis,osteosarcoma;lung-metastasis-not-primary-lung-cancer,cross-tumor-methodology,mechanistic-preclinical,publisher_main_pdf,Reinecke_Aberrant_Activation_of_Wound-Healing_Programs_within_the_Metastatic_Niche_Facilitates_Lung_Col_PMID39540841.pdf,66c9553d6966c5507facd4091428c5f166106e44ea24b656b0f2d10b89a9cfa2,16,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-omics-methods-2026-09-23-language.md,5;7;9;10;11;13;14
39841860,2025,"Pretargeted Trop-2 ImmunoPET for Rapid, Selective Detection of Pancreatic Tumors",Clinical Cancer Research,10.1158/1078-0432.ccr-24-3098,Precision Medicine and Imaging,imaging;immunoPET;antibody-engineering;pharmacology;preclinical;technical-replicates,pancreatic;ovarian;prostate;Calu6-lung-negative-control,cross-tumor-methodology-with-lung-control,preclinical-methodological,author_manuscript,"Pratt_Pretargeted_Trop-2_ImmunoPET_for_Rapid,_Selective_Detection_of_Pancreatic_Tumors_PMID39841860.pdf",63eade82c7979fe4853ec7687e8affb699011bc7159bd772a41bfa6a35bc34ab,17,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-omics-methods-2026-09-23-language.md,14;15;16;17
39704655,2025,Smoking-Associated Carcinogen-Induced Inflammation Promotes Lung Carcinogenesis via IRAK4 Activation,Clinical Cancer Research,10.1158/1078-0432.ccr-24-2182,Translational Cancer Mechanisms and Therapy,phosphoproteomics;mass-spectrometry;bioinformatics;IRAK4;MYH9;preclinical;targeted-therapy;FDR,SCLC-human-IHC;NSCLC-cell-models;murine-lung-carcinogenesis,lung-original-research,mechanistic-preclinical,author_manuscript,Aggarwal_Smoking-Associated_Carcinogen-Induced_Inflammation_Promotes_Lung_Carcinogenesis_via_IRAK4_Acti_PMID39704655.pdf,ec00d3c0e9d402ef878abb5d20474d576a3c8848e59b6fc21fbddd30873487bd,18,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-omics-methods-2026-09-23-language.md,12;13;14;15;16;17;18
40465424,2025,"STX-721, a Covalent EGFR/HER2 Exon 20 Inhibitor, Utilizes Exon 20-Mutant Dynamic Protein States and Achieves Unique Mutant Selectivity Across Human Cancer Models",Clinical Cancer Research,10.1158/1078-0432.ccr-24-3833,Translational Cancer Mechanisms and Therapy,chemoproteomics;structural-biology;molecular-dynamics;bioinformatics;targeted-therapy;isogenic-controls;statistics,EGFR-HER2-mutant-NSCLC;sinonasal-comparator,lung-original-research,mechanistic-preclinical,publisher_main_pdf,"Pagliarini_STX-721,_a_Covalent_EGFR_HER2_Exon_20_Inhibitor,_Utilizes_Exon_20-Mutant_Dynamic_Protein_Sta_PMID40465424.pdf",57542a317556047f0493db87398fa2b73321699f6ccac8eb062cb0901c49ff76,17,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-omics-methods-2026-09-23-language.md,7;8;9;10;11;14
39879384,2025,Targeting AXL Inhibits the Growth and Metastasis of Prostate Cancer in Bone,Clinical Cancer Research,10.1158/1078-0432.ccr-24-3028,Translational Cancer Mechanisms and Therapy,bulk-transcriptomics;species-deconvolution;bioinformatics;prognostic-modeling;AXL;preclinical;combination-therapy,prostate;CRPC;NEPC;bone-and-lung-metastases-not-NSCLC,cross-tumor-methodology,clinical-associative-and-preclinical,author_manuscript,Chiu_Targeting_AXL_Inhibits_the_Growth_and_Metastasis_of_Prostate_Cancer_in_Bone_PMID39879384.pdf,fea6567636d55d307db32aef251b8f59ddd9160232cda2f87f5d8158170b526c,26,2026-09-23,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2025-omics-methods-2026-09-23-language.md,18;19;20;22;24;26
40911432,2025,Seizure-Related Homolog Protein 6 (SEZ6): Biology and Therapeutic Target in Neuroendocrine Carcinomas,Clinical Cancer Research,10.1158/1078-0432.ccr-25-2090,Review,SEZ6;ADC;neuroendocrine-lineage;review-not-primary-evidence,SCLC;neuroendocrine-neoplasms,background-review-only,secondary-review,author_manuscript,Gezelius_Seizure-Related_Homolog_Protein_6_(SEZ6)_Biology_and_Therapeutic_Target_in_Neuroendocrine_Carc_PMID40911432.pdf,41167577d5ace8d816fe1918994c423b8da4ac2a1c8747497790a2f655d22be9,20,2026-09-23,background_review_read,not_supplied,not_reviewed,ccr-2025-sez6-review-background.md,15;16;17;19;20
